PageURL,Title,CreationDate,Seccion,Subseccion,Contenido,WikipageID,LastModified
https://en.wikipedia.org/wiki/Inert_waste,Inert waste,2023-11-29T05:27:47Z,,,"Inert waste is waste which is neither chemically nor biologically reactive and will not decompose or only very slowly. Examples of this are sand, concrete, and demolition waste. This has particular relevance to landfills as inert waste typically requires lower disposal fees than biodegradable waste or hazardous waste.",4364816,2023-11-29T05:27:47Z
https://en.wikipedia.org/wiki/Inert_waste,Inert waste,2023-11-29T05:27:47Z, See also ,,Landfill List of waste types,4364816,2023-11-29T05:27:47Z
https://en.wikipedia.org/wiki/Inert_waste,Inert waste,2023-11-29T05:27:47Z, References ,,Paul T. Williams (30 April 2013). Waste Treatment and Disposal. John Wiley & Sons. p. 240. ISBN 978-1-118-68737-6.,4364816,2023-11-29T05:27:47Z
https://en.wikipedia.org/wiki/Inorganic_waste,Inorganic waste,2023-01-03T10:36:37Z,,,"Inorganic waste is a type of waste that does not contain organic compounds. This waste is generally very difficult to decompose by microorganisms. Glass, aluminum cans, dust, and metal are some examples of inorganic waste. Inorganic waste remains free from decay, with more than 500 years needed being common for effective decomposition, therefore disposal can be challenging. Reducing consumption, reusing, and recycling are possible solutions for coping with this type of waste.",64698218,2023-01-03T10:36:37Z
https://en.wikipedia.org/wiki/Industrial_waste,Industrial waste,2023-09-27T14:14:01Z,,,"Industrial waste is the waste produced by industrial activity which includes any material that is rendered useless during a manufacturing process such as that of factories, mills, and mining operations. Types of industrial waste include dirt and gravel, masonry and concrete, scrap metal, oil, solvents, chemicals, scrap lumber, even vegetable matter from restaurants. Industrial waste may be solid, semi-solid or liquid in form. It may be hazardous waste (some types of which are toxic) or non-hazardous waste. Industrial waste may pollute the nearby soil or adjacent water bodies, and can contaminate groundwater, lakes, streams, rivers or coastal waters. Industrial waste is often mixed into municipal waste, making accurate assessments difficult. An estimate for the US goes as high as 7.6 billion tons of industrial waste produced annually, as of 2017. Most countries have enacted legislation to deal with the problem of industrial waste, but strictness and compliance regimes vary. Enforcement is always an issue.",216161,2023-09-27T14:14:01Z
https://en.wikipedia.org/wiki/Industrial_waste,Industrial waste,2023-09-27T14:14:01Z, Classification of industrial waste and its treatment ,,"Hazardous waste, chemical waste, industrial solid waste and municipal solid waste are classifications of wastes used by governments in different countries. Sewage treatment plants can treat some industrial wastes, i.e. those consisting of conventional pollutants such as biochemical oxygen demand (BOD). Industrial wastes containing toxic pollutants or high concentrations of other pollutants (such as ammonia) require specialized treatment systems. (See Industrial wastewater treatment).Industrial wastes can be classified on the basis of their characteristics: Waste in solid form, but some pollutants within are in liquid or fluid form, e.g. crockery industry or washing of minerals or coal Waste in dissolved and the pollutant is in liquid form, e.g. the dairy industry.",216161,2023-09-27T14:14:01Z
https://en.wikipedia.org/wiki/Industrial_waste,Industrial waste,2023-09-27T14:14:01Z, Environmental impact ,,"Many factories and most power plants are located near bodies of water to obtain large amounts of water for manufacturing processes or for equipment cooling. In the US, electric power plants are the largest water users. Other industries using large amounts of water are pulp and paper mills, chemical plants, iron and steel mills, petroleum refineries, food processing plants and aluminum smelters. Many less-developed countries that are becoming industrialized do not yet have the resources or technology to dispose their wastes with minimal impacts on the environment. Both untreated and partially treated wastewater are commonly fed back into a near lying body of water. Metals, chemicals and sewage released into bodies of water directly affect marine ecosystems and the health of those who depend on the waters as food or drinking water sources. Toxins from the wastewater can kill off marine life or cause varying degrees of illness to those who consume these marine animals, depending on the contaminant. Metals and chemicals released into bodies of water affect the marine ecosystems.Wastewater containing nutrients (nitrates and phosphates) often causes eutrophication which can kill off existing life in water bodies. A Thailand study focusing on water pollution origins found that the highest concentrations of water contamination in the U-tapao river had a direct correlation to industrial wastewater discharges.Thermal pollution—discharges of water at elevated temperature after being used for cooling—can also lead to polluted water. Elevated water temperatures decrease oxygen levels, which can kill fish and alter food chain composition, reduce species biodiversity, and foster invasion by new thermophilic species.",216161,2023-09-27T14:14:01Z
https://en.wikipedia.org/wiki/Industrial_waste,Industrial waste,2023-09-27T14:14:01Z, Environmental impact , Solid and hazardous waste ,"Solid waste, often called municipal solid waste, typically refers to material that is not hazardous. This category includes trash, rubbish and refuse; and may include materials such as construction debris and yard waste. Hazardous waste typically has specific definitions, due to the more careful and complex handling required of such wastes. Under US law, waste may be classified as hazardous based on certain characteristics: ignitability, reactivity, corrosivity and toxicity. Some types of hazardous waste are specifically listed in regulations.",216161,2023-09-27T14:14:01Z
https://en.wikipedia.org/wiki/Industrial_waste,Industrial waste,2023-09-27T14:14:01Z, Environmental impact , Water pollution ,"One of the most devastating effects of industrial waste is water pollution. For many industrial processes, water is used which comes in contact with harmful chemicals. These chemicals may include organic compounds (such as solvents), metals, nutrients or radioactive material. If the wastewater is discharged without treatment, groundwater and surface water bodies—lakes, streams, rivers and coastal waters—can become polluted, with serious impacts on human health and the environment. Drinking water sources and irrigation water used for farming may be affected. The pollutants may degrade or destroy habitat for animals and plants. In coastal areas, fish and other aquatic life can be contaminated by untreated waste; beaches and other recreational areas can be damaged or closed.: 273–309",216161,2023-09-27T14:14:01Z
https://en.wikipedia.org/wiki/Industrial_waste,Industrial waste,2023-09-27T14:14:01Z, Management , Thailand ,"In Thailand the roles in municipal solid waste (MSW) management and industrial waste management are organized by the Royal Thai Government, which is organized as central (national) government, regional government, and local government. Each government is responsible for different tasks. The central government is responsible for stimulating regulation, policies, and standards. The regional governments are responsible for coordinating the central and local governments. The local governments are responsible for waste management in their governed area. However, the local governments do not dispose of the waste by themselves but instead hire private companies that have been granted the right from the Pollution Control Department (PCD) in Thailand. The main companies are Bangpoo Industrial Waste Management Center, General Environmental Conservation Public Company Limited (GENCO), SGS Thailand, Waste Management Siam LTD (WMS), and Better World Green Public Company Limited (BWG). These companies are responsible for the waste they have received from their customers before releasing it to the environment, burying it.",216161,2023-09-27T14:14:01Z
