Seccion,Subseccion,Contenido
 Practices Eligible for Funding ,,The EQIP covers up to 75 percent of costs incurred and 100 percent of income foregone for implementing eligible conservation practices for awardees. There are a variety of conservation practices that are eligible for funding under EQIP.
 Practices Eligible for Funding , Grazing ,"Managed rotational grazing, a method of livestock production in which animals are moved between pastures in order to let pastureland rest, is included as an eligible practice under EQIP. Specifically, the most common managed grazing practices that may receive funding include: design plans and identification of infrastructure and materials needs such as fencing, planting, and water systems; prescribed grazing systems that improve or maintain water quality, plant communities, watersheds, or wildlife cover; and mechanical treatment to improve soil and plant conditions. At the national level, 50 percent of EQIP funding is reserved for livestock operations."
 Practices Eligible for Funding , Grazing ,"This article incorporates public domain material from Jasper Womach. Report for Congress: Agriculture: A Glossary of Terms, Programs, and Laws, 2005 Edition (PDF). Congressional Research Service."
 History ,,"The contamination that makes up The Plume was discovered in 1993 during construction of the Retirement Systems of Alabama (RSA) Tower energy plant. In the late 1990s the Environmental Protection Agency (EPA) became involved, and in 2000 the EPA proposed that the Capital City Plume Site be put on the National Priorities List (NPL). Although proposed, Capital City Plume never made it onto the NPL because the Alliance, an organization developed by the city, agreed to address the site effectively and in a timely manner.The first step the city took was in developing the Alliance."
 History ,,"The Alliance is composed of governmental agencies including the City of Montgomery, Montgomery County, Montgomery Water Works and Sanitary Sewer Board, the State of Alabama, and the Montgomery Advertiser who will be working in accordance with the Alabama Department of Environmental Management requirements. The Alliance has agreed to pay back 2.6 million dollars to the EPA, which is part of what was spent investigating the area over nearly 20 years.Through testing, the EPA named the Montgomery Advertiser and the state agencies as potential responsible parties."
 History ,,"Independent tests from Montgomery Advertiser's consultant had different conclusions than the EPA and pointed to nearby gas stations and dry cleaners as the culprits of the environmental contamination. Their President and Publisher stated that regardless of who was responsible, the issue and focus now had to be on the cleanup and the bettering of the city environmentally."
 History ,,"The city of Montgomery accepted public comments for a period of 30 days following their initial acceptance of the terms from the EPA, and during those 30 days, from July 30, 2015, to August 31, 2015, the comments would be considered in any modifications or amendments to the agreement. From 2008 to 2010 the United States Geological Surveys' Alabama and South Carolina Water Science Centers conducted tests on numerous things in and around the site of the plume in downtown Montgomery."
 History ,,"Contaminants had been found in groundwater, so the tests were conducted to reveal where the source of contamination was stemming from as well as the pathways the contamination was taking underground. Additionally, the U.S. Geological Survey (USGS) aimed to discover when the contamination occurred. In order to find answers to these questions the USGS conducted many tests and methods of sampling including but not limited to sampling of creek water, ground water, trees, and soil."
 History ,,"The USGS also looked at how the land was historically used so that a correlation could be drawn between locations of high concentrations of chemicals and the source polluters. Scientists used passive-diffusion bag samplers to collect pore water from Cypress Creek and groundwater from other locations, which would provide data and concentration levels of the contaminants in the creek. Scientists also took tissue samples from trees that were growing along the Alabama River, Cypress Creek, and downtown Montgomery so that the analysis and data could give a better idea of the big picture and the true reach of the pollution."
 History ,,"The tests concluded that the aquifer residing below the Capital City Plume site was contaminated with perchloroethylene (PCE) and trichloroethylene (TCE) and that the contamination was likely caused by the commercial printing industry that resided in downtown Montgomery in the late 1800s and early 1900s. The USGS scientists also concluded that the contamination likely was attributed to wastewater containing chlorinated solvents that had gotten into stormwater systems, thus polluting the aquifer. As part of the remediation action, the City of Montgomery planted two acres of poplar trees, which take up and break down contaminants from shallow groundwater through their roots."
 History ,,"The Alliance has submitted a work plan to complete the assessment of the plume area. During the years of analysis and cleanup, the downtown area has remained open for business and redevelopment. This includes the building of a new Riverfront Amphitheater, a Conference Complex, and parks and attracting new retail outlets, housing, offices, and industry. Groundwater remediation Rhizofiltration"
 Train derailment ,,"On May 12, 1989, at 7:36 a.m. a 6-locomotive/69-car Southern Pacific freight train (SP 7551 East, computer symbol 1 MJLBP-11) that was transporting trona, lost control while descending Cajon Pass, derailed on an elevated curve and plowed into a residential area on Duffy Street. The location is just northeast of where the 210 Foothill Freeway crosses the Lytle Creek wash. The conductor, head-end brakeman, and two residents were killed in the wreck. Seven houses on the street immediately next to the tracks were demolished by the wreck, as were the lead locomotives and all of the freight cars."
 Train derailment ,,"Clerks in Mojave had miscalculated the weight of the train, while the engineer and crew at the head end were unaware that one of the rear helper engines had inoperative dynamic brakes. Hence there was not enough dynamic braking force available to maintain control of train speed during the descent. When the helper engineer realized that the train speed was not being adequately controlled, he made an emergency brake application, which deactivated dynamic braking, resulting in a runaway condition."
 Train derailment ,,"The train reached a speed of about 110 miles per hour (180 km/h) before derailing on an elevated 35 miles per hour (56 km/h) curve next to Duffy Street, sending the head-end locomotives and several cars off the high railroad bed and into houses on the street below, completely demolishing them. Data from the locomotives' ""black boxes"" (event recorders) showed that the third head end locomotive's dynamic brakes were not functioning at all, although the sound of the cooling fans misled crews into believing dynamic braking was functional."
 Train derailment ,,"It was also determined after the wreck that the engineer operating the helper locomotives knew of the faulty dynamic brakes on one of his units, but did not communicate that information to the head end crew. The combination of weight miscalculation, poor communication and faulty brake equipment resulted in a total train weight that was too great to adequately control on the down grade. Once dynamic braking had been defeated by the helper engineer's emergency brake application the enormous weight of the heavily loaded cars caused rapid acceleration that could not be resisted solely by mechanical braking."
 Train derailment ,,"The train catapulted from the 35 mph curve next to Duffy Street, at 110 mph, scattering locomotives and cars, as well as lading. It was composited by an SD40T-2, two SD45Rs, and an SD45T-2 on the head end, an SD40T-2 and SD45R on the helper end, and 69 hopper cars loaded with trona."
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,The
