Seccion,Subseccion,Contenido
 Slaughterhouse waste ,,"Slaughterhouse waste is defined as animal body parts cut off in the preparation of carcasses for use as food. This waste can come from several sources, including slaughterhouses, restaurants, stores and farms. In the UK, slaughterhouse waste is classed as category 3 risk waste in the Animal By-Products Regulations, with the exception of condemned meat which is classed as category 2 risk."
 Slaughterhouse waste , By-products in pet food ,"The leftover pieces that come from the process of stripping meat from animals tends to get used for different purposes. One of them is to put these parts into pet food. Many large, well-known pet food brands use animal by-products as protein sources in their recipes. This can include animal feet, livers, lungs, heads, spleens, etc or an admixture in the form of meat and bone meal. These organs are usually not eaten by humans depending on culture, but are safe and nutritious for pets regardless. By-products can also include bad-looking pieces. They are always cooked (rendered) to kill pathogens."
 Slaughterhouse waste , By-products in pet food ,"Some pet food makers advertise the lack of by-products to appeal to buyers, a move criticized for contributing to food waste and reducing sustainability. Carmine, derived from crushed cochineal beetles, is a red or purple substance commonly used in food products. It is common in food products such as juice, candy, and yogurt. The presence of carmine in these products has been a source of controversy. One major source of controversy was the use of carmine in Starbucks frappuccinos. Carmine is an allergen according to the FDA. It takes about 70,000 female insects to produce a pound of dye."
 Slaughterhouse waste , By-products in pet food ,"L-cysteine from human hair and pig bristles (used in the production of biscuits, bread and dietary supplements) Rennet (commonly used in the production of cheese) Shellac (commonly used for food dye, food glaze and medicine glaze) Swiftlet's nest (made of saliva) Extensive list identifying animal-derived and vegan ingredients FDA Consumer Magazine: The Lowdown on Labels Heinz, G. & Hautzinger, P. ""Meat Processing Technology"" Archived February 7, 2019, at the Wayback Machine, Food and Agriculture Organization, 2007, accessed March 30, 2012. Leoci, R., Animal by-products (ABPs): origins, uses, and European regulations, Mantova (Italy): Universitas Studiorum, 2014."
 Slaughterhouse waste , By-products in pet food ,"ISBN 978-88-97683-47-6 Mian N Riaz, Riaz N Riaz, Muhammad M Chaudry. Halal Food Production, CRC Press, 2004. ISBN 1-58716-029-3 Tsai, Michelle. ""What's in a can of dog food?, Slate, March 19, 2007. Earthly Origin of Materials, is a material animal, vegetable, or mineral?"
 Classification of industrial waste and its treatment ,,"Hazardous waste, chemical waste, industrial solid waste and municipal solid waste are classifications of wastes used by governments in different countries. Sewage treatment plants can treat some industrial wastes, i.e. those consisting of conventional pollutants such as biochemical oxygen demand (BOD). Industrial wastes containing toxic pollutants or high concentrations of other pollutants (such as ammonia) require specialized treatment systems. (See Industrial wastewater treatment).Industrial wastes can be classified on the basis of their characteristics: Waste in solid form, but some pollutants within are in liquid or fluid form, e.g."
 Classification of industrial waste and its treatment ,,"crockery industry or washing of minerals or coal Waste in dissolved and the pollutant is in liquid form, e.g. the dairy industry. Many factories and most power plants are located near bodies of water to obtain large amounts of water for manufacturing processes or for equipment cooling. In the US, electric power plants are the largest water users. Other industries using large amounts of water are pulp and paper mills, chemical plants, iron and steel mills, petroleum refineries, food processing plants and aluminum smelters."
 Classification of industrial waste and its treatment ,,"Many less-developed countries that are becoming industrialized do not yet have the resources or technology to dispose their wastes with minimal impacts on the environment. Both untreated and partially treated wastewater are commonly fed back into a near lying body of water. Metals, chemicals and sewage released into bodies of water directly affect marine ecosystems and the health of those who depend on the waters as food or drinking water sources. Toxins from the wastewater can kill off marine life or cause varying degrees of illness to those who consume these marine animals, depending on the contaminant."
 Classification of industrial waste and its treatment ,,"Metals and chemicals released into bodies of water affect the marine ecosystems.Wastewater containing nutrients (nitrates and phosphates) often causes eutrophication which can kill off existing life in water bodies. A Thailand study focusing on water pollution origins found that the highest concentrations of water contamination in the U-tapao river had a direct correlation to industrial wastewater discharges.Thermal pollution—discharges of water at elevated temperature after being used for cooling—can also lead to polluted water. Elevated water temperatures decrease oxygen levels, which can kill fish and alter food chain composition, reduce species biodiversity, and foster invasion by new thermophilic species."
 Environmental impact , Solid and hazardous waste ,"Solid waste, often called municipal solid waste, typically refers to material that is not hazardous. This category includes trash, rubbish and refuse; and may include materials such as construction debris and yard waste. Hazardous waste typically has specific definitions, due to the more careful and complex handling required of such wastes. Under US law, waste may be classified as hazardous based on certain characteristics: ignitability, reactivity, corrosivity and toxicity. Some types of hazardous waste are specifically listed in regulations."
